id,disease,plants,names,disease_description,treatment_suggestions,symptoms,region,severity,control_measures
1,Leaf Spot,Corn,Zea,A parasitic infection,Rotate crops,Reddish pustules,America,Medium,Maintain field hygiene
2,Late Blight,Tomato,Triticum,A viral infection,Apply neem oil,Reddish pustules,Africa,High,Avoid overhead irrigation
3,Anthracnose,Soybean,Glycine,A parasitic infection,Apply neem oil,Yellowing leaves,Asia,Low,Crop rotation
4,Anthracnose,Potato,Triticum,A fungal disease,Use resistant varieties,Yellowing leaves,Australia,Medium,Avoid overhead irrigation
5,Anthracnose,Corn,Lycopersicon,A parasitic infection,Apply neem oil,White powder on leaves,Asia,Low,Crop rotation
6,Powdery Mildew,Wheat,Zea,Caused by nematodes,Use fungicides,White powder on leaves,Asia,Medium,Avoid overhead irrigation
7,Anthracnose,Soybean,Zea,A parasitic infection,Use fungicides,Leaf curling,America,Low,Maintain field hygiene
8,Rust,Wheat,Triticum,A parasitic infection,Maintain good hygiene,Yellowing leaves,Africa,High,Use certified seeds
9,Leaf Spot,Potato,Glycine,A fungal disease,Use fungicides,Black spots on leaves,Europe,Medium,Avoid overhead irrigation
10,Late Blight,Tomato,Glycine,A fungal disease,Use resistant varieties,White powder on leaves,Asia,High,Maintain field hygiene
11,Late Blight,Soybean,Triticum,A viral infection,Maintain good hygiene,Black spots on leaves,Europe,Medium,Maintain field hygiene
12,Leaf Spot,Potato,Glycine,A fungal disease,Maintain good hygiene,White powder on leaves,Europe,Low,Avoid overhead irrigation
13,Rust,Potato,Lycopersicon,A fungal disease,Maintain good hygiene,Black spots on leaves,Africa,Low,Use certified seeds
14,Powdery Mildew,Tomato,Solanum,A fungal disease,Apply neem oil,Black spots on leaves,Australia,High,Crop rotation
15,Late Blight,Tomato,Zea,A parasitic infection,Use fungicides,White powder on leaves,Asia,Medium,Maintain field hygiene
16,Powdery Mildew,Potato,Zea,A parasitic infection,Apply neem oil,Yellowing leaves,America,Low,Maintain field hygiene
17,Powdery Mildew,Tomato,Zea,A fungal disease,Rotate crops,White powder on leaves,America,High,Maintain field hygiene
18,Late Blight,Soybean,Solanum,A bacterial infection,Maintain good hygiene,Yellowing leaves,America,High,Maintain field hygiene
19,Powdery Mildew,Tomato,Lycopersicon,A fungal disease,Rotate crops,Reddish pustules,Europe,Medium,Avoid overhead irrigation
20,Leaf Spot,Soybean,Triticum,A fungal disease,Apply neem oil,Reddish pustules,Australia,Medium,Crop rotation
21,Anthracnose,Potato,Glycine,A viral infection,Use fungicides,Reddish pustules,Australia,High,Avoid overhead irrigation
22,Late Blight,Corn,Glycine,A fungal disease,Maintain good hygiene,Reddish pustules,Africa,Low,Use certified seeds
23,Anthracnose,Potato,Solanum,A fungal disease,Rotate crops,Leaf curling,Europe,Medium,Crop rotation
24,Late Blight,Potato,Zea,A viral infection,Rotate crops,Leaf curling,Australia,Low,Use mulch
25,Rust,Potato,Glycine,A fungal disease,Maintain good hygiene,White powder on leaves,America,High,Use certified seeds
26,Anthracnose,Soybean,Triticum,A fungal disease,Use resistant varieties,Black spots on leaves,America,Low,Avoid overhead irrigation
27,Late Blight,Corn,Glycine,Caused by nematodes,Maintain good hygiene,Leaf curling,America,High,Maintain field hygiene
28,Powdery Mildew,Tomato,Zea,A viral infection,Rotate crops,Leaf curling,Australia,Low,Avoid overhead irrigation
29,Anthracnose,Wheat,Triticum,A viral infection,Apply neem oil,Black spots on leaves,America,Medium,Avoid overhead irrigation
30,Anthracnose,Soybean,Zea,Caused by nematodes,Apply neem oil,Leaf curling,Australia,High,Avoid overhead irrigation
31,Anthracnose,Potato,Zea,A viral infection,Rotate crops,Black spots on leaves,Australia,Medium,Use certified seeds
32,Late Blight,Potato,Solanum,A bacterial infection,Apply neem oil,Leaf curling,Asia,High,Use mulch
33,Powdery Mildew,Wheat,Zea,A parasitic infection,Apply neem oil,Reddish pustules,America,High,Maintain field hygiene
34,Powdery Mildew,Tomato,Triticum,A parasitic infection,Use resistant varieties,Black spots on leaves,Australia,Low,Maintain field hygiene
35,Powdery Mildew,Corn,Solanum,A viral infection,Rotate crops,Reddish pustules,Australia,Low,Avoid overhead irrigation
36,Late Blight,Potato,Solanum,A parasitic infection,Use fungicides,White powder on leaves,America,Medium,Avoid overhead irrigation
37,Rust,Wheat,Triticum,A fungal disease,Use resistant varieties,Black spots on leaves,America,High,Avoid overhead irrigation
38,Leaf Spot,Potato,Solanum,A fungal disease,Rotate crops,Black spots on leaves,America,High,Avoid overhead irrigation
39,Anthracnose,Wheat,Triticum,A bacterial infection,Apply neem oil,Yellowing leaves,Africa,Medium,Use certified seeds
40,Anthracnose,Tomato,Glycine,Caused by nematodes,Apply neem oil,Leaf curling,America,Low,Use certified seeds
41,Rust,Wheat,Solanum,A parasitic infection,Use fungicides,Black spots on leaves,Asia,Medium,Crop rotation
42,Leaf Spot,Potato,Glycine,A bacterial infection,Apply neem oil,Yellowing leaves,Europe,High,Crop rotation
43,Rust,Soybean,Solanum,A parasitic infection,Use fungicides,Yellowing leaves,Australia,High,Use certified seeds
44,Late Blight,Tomato,Zea,A fungal disease,Apply neem oil,Yellowing leaves,America,High,Avoid overhead irrigation
45,Late Blight,Wheat,Triticum,A bacterial infection,Maintain good hygiene,Reddish pustules,Africa,Medium,Maintain field hygiene
46,Leaf Spot,Soybean,Zea,A bacterial infection,Maintain good hygiene,Yellowing leaves,Australia,High,Use certified seeds
47,Late Blight,Corn,Glycine,Caused by nematodes,Apply neem oil,Black spots on leaves,Australia,Medium,Use certified seeds
48,Leaf Spot,Corn,Triticum,A fungal disease,Use fungicides,White powder on leaves,Asia,Medium,Crop rotation
49,Powdery Mildew,Wheat,Triticum,A bacterial infection,Use fungicides,Leaf curling,Africa,High,Use mulch
50,Leaf Spot,Tomato,Glycine,A fungal disease,Use resistant varieties,Reddish pustules,Australia,Low,Maintain field hygiene
51,Powdery Mildew,Potato,Triticum,A fungal disease,Maintain good hygiene,Yellowing leaves,Asia,Medium,Maintain field hygiene
52,Rust,Corn,Triticum,A viral infection,Use resistant varieties,Yellowing leaves,Africa,High,Use mulch
53,Rust,Soybean,Solanum,A viral infection,Use fungicides,Reddish pustules,Africa,Medium,Crop rotation
54,Late Blight,Soybean,Lycopersicon,Caused by nematodes,Apply neem oil,Reddish pustules,America,High,Maintain field hygiene
55,Powdery Mildew,Soybean,Zea,A fungal disease,Maintain good hygiene,Black spots on leaves,Africa,Low,Crop rotation
56,Powdery Mildew,Corn,Lycopersicon,A viral infection,Rotate crops,Black spots on leaves,Asia,Low,Crop rotation
57,Powdery Mildew,Wheat,Triticum,A parasitic infection,Apply neem oil,White powder on leaves,Africa,Medium,Avoid overhead irrigation
58,Powdery Mildew,Corn,Lycopersicon,A fungal disease,Use fungicides,Black spots on leaves,Africa,High,Use mulch
59,Anthracnose,Tomato,Solanum,A bacterial infection,Maintain good hygiene,Black spots on leaves,Africa,Medium,Use mulch
60,Anthracnose,Tomato,Glycine,A fungal disease,Use fungicides,Reddish pustules,America,Medium,Avoid overhead irrigation
61,Rust,Wheat,Glycine,A bacterial infection,Use fungicides,Reddish pustules,Australia,Low,Crop rotation
62,Anthracnose,Soybean,Lycopersicon,Caused by nematodes,Rotate crops,Leaf curling,Africa,Low,Crop rotation
63,Late Blight,Corn,Solanum,A viral infection,Use fungicides,Reddish pustules,Europe,Medium,Maintain field hygiene
64,Anthracnose,Wheat,Glycine,A parasitic infection,Use fungicides,Reddish pustules,Australia,Medium,Use mulch
